payer_name,plan_type,effective_date,term_date,reimbursement_method,drg_code,drg_description,cpt_code,cpt_description,service_category,contracted_rate,rate_basis,timely_filing_days,timely_filing_days_amended,appeal_window_days,prior_auth_required,carve_outs,renewal_date,amended
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,470,Major hip and knee joint replacement w/o MCC,,,Inpatient,16825.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,22300.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,291,Heart failure and shock w/ MCC,,,Inpatient,10850.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,15450.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,8725.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,7200.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,765,Cesarean section w/ CC/MCC,,,Inpatient,9800.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,37175.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,329,Major small & large bowel procedures w/ MCC,,,Inpatient,47500.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,True
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,14975.0,118% of Medicare base,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,27447,Total knee arthroplasty,Outpatient,1900.0,Outpatient fee schedule,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,70553,MRI brain w/ & w/o contrast,Outpatient,565.0,Outpatient fee schedule,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,45378,"Colonoscopy, diagnostic",Outpatient,430.0,Outpatient fee schedule,90,,180,False,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,93452,Left heart catheterization,Outpatient,3480.0,Outpatient fee schedule,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,99285,"Emergency dept visit, high complexity",Outpatient,485.0,Outpatient fee schedule,90,,180,False,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
UnitedHealthcare,Commercial PPO,2024-01-01,2026-12-31,Percent of Medicare,,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1580.0,Outpatient fee schedule,90,,180,True,"Transplants, investigational services, and Part B drugs reimbursed under separate addendum.",2026-10-01,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,470,Major hip and knee joint replacement w/o MCC,,,Inpatient,15950.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,21175.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,291,Heart failure and shock w/ MCC,,,Inpatient,10300.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,14675.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,8300.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,6825.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,765,Cesarean section w/ CC/MCC,,,Inpatient,9300.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,35275.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,329,Major small & large bowel procedures w/ MCC,,,Inpatient,43575.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,14225.0,Negotiated case rate,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,,,27447,Total knee arthroplasty,Outpatient,1805.0,Outpatient fee schedule,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,,,70553,MRI brain w/ & w/o contrast,Outpatient,540.0,Outpatient fee schedule,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,,,45378,"Colonoscopy, diagnostic",Outpatient,410.0,Outpatient fee schedule,120,,180,False,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,,,93452,Left heart catheterization,Outpatient,3305.0,Outpatient fee schedule,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,,,99285,"Emergency dept visit, high complexity",Outpatient,460.0,Outpatient fee schedule,120,,180,False,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Aetna,Commercial HMO/PPO,2024-01-01,2025-12-31,Per-DRG case rate,,,29881,Knee arthroscopy w/ meniscectomy,Outpatient,1500.0,Outpatient fee schedule,120,,180,True,Behavioral health carved out to Aetna Behavioral Health network.,2025-09-30,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,470,Major hip and knee joint replacement w/o MCC,,,Inpatient,17375.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,247,Percutaneous cardiovascular proc w/ drug-eluting stent,,,Inpatient,23050.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,291,Heart failure and shock w/ MCC,,,Inpatient,11225.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,871,Septicemia or severe sepsis w/o MV >96h w/ MCC,,,Inpatient,15975.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,190,Chronic obstructive pulmonary disease w/ MCC,,,Inpatient,9025.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,194,Simple pneumonia and pleurisy w/ CC,,,Inpatient,7450.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,765,Cesarean section w/ CC/MCC,,,Inpatient,10125.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,853,Infectious & parasitic dis w/ OR proc w/ MCC,,,Inpatient,38425.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,329,Major small & large bowel procedures w/ MCC,,,Inpatient,47450.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,064,Intracranial hemorrhage or cerebral infarction w/ MCC,,,Inpatient,15500.0,122% of Medicare base,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,,,27447,Total knee arthroplasty,Outpatient,1965.0,Outpatient fee schedule,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,,,70553,MRI brain w/ & w/o contrast,Outpatient,585.0,Outpatient fee schedule,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,,,45378,"Colonoscopy, diagnostic",Outpatient,445.0,Outpatient fee schedule,90,,90,False,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,,,93452,Left heart catheterization,Outpatient,3600.0,Outpatient fee schedule,90,,90,True,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
Anthem Blue Cross Blue Shield,Commercial PPO,2024-01-01,2026-06-30,Percent of Medicare,,,99285,"Emergency dept visit, high complexity",Outpatient,500.0,Outpatient fee schedule,90,,90,False,Durable medical equipment and home health excluded; billed to ancillary vendor.,2026-04-01,False
